target,component,shaft,sensors,rho,spec,spec_xshaft,n_deg,n_heal,n_xheal
fan_eff_mod,fan,LP,Nc+Ps30+P40,0.17947079326586515,0.14092432437718216,0.09804757081673943,262,535,450
fan_eff_mod,fan,LP,Nc+Ps30+P50,0.4352900443749326,-0.4050515819202769,-0.5945062675781778,262,535,450
fan_eff_mod,fan,LP,Nc+P40+P50,0.4855515791049172,-0.13878964943418315,-0.25201392995887617,262,535,450
fan_eff_mod,fan,LP,T24+T30+T48,0.608289564131992,-0.064295848477538,-0.07722754474534255,262,535,450
fan_eff_mod,fan,LP,T24+T30+T50,0.20064205137654467,-0.22613490207763598,-0.3332673084977762,262,535,450
fan_eff_mod,fan,LP,T24+T30+P15,0.41044291381726306,0.08799545834480305,-0.011940552237415858,262,535,450
fan_eff_mod,fan,LP,T24+T30+P21,0.41048305693275294,0.08757664934726828,-0.012405253660456639,262,535,450
fan_eff_mod,fan,LP,T24+T30+P24,0.2900339648322687,0.15374374834412607,0.07791281703665831,262,535,450
fan_eff_mod,fan,LP,T24+T30+Ps30,0.09827021196909233,0.18498935067727673,0.1567593646436266,262,535,450
fan_eff_mod,fan,LP,T24+T30+P40,0.2896515620884437,0.2611806545195714,0.19400729927454652,262,535,450
fan_eff_mod,fan,LP,T24+T30+P50,0.08339358307161185,0.0828052980851346,-0.016150890165051113,262,535,450
fan_eff_mod,fan,LP,T24+T48+T50,0.6091494999334454,0.42287374510470466,0.4300506129233834,262,535,450
fan_eff_mod,fan,LP,T24+T48+P15,0.005446961140063284,-0.08101034442191035,-0.14357944518006027,262,535,450
fan_eff_mod,fan,LP,T24+T48+P21,0.005520110980883678,-0.08143500849859375,-0.14402868890077802,262,535,450
fan_eff_mod,fan,LP,T24+T48+P24,0.39724352838274346,0.006863094483603449,-0.05753559687298737,262,535,450
fan_eff_mod,fan,LP,T24+T48+Ps30,0.22798036034950117,0.01463660733312866,-0.00951995386277149,262,535,450
fan_eff_mod,fan,LP,T24+T48+P40,0.2776173631094419,0.13641176028531066,0.10607065700327756,262,535,450
fan_eff_mod,fan,LP,T24+T48+P50,-0.012687908677516346,-0.19861908582474674,-0.23279916049627336,262,535,450
fan_eff_mod,fan,LP,T24+T50+P15,0.41868030125567235,0.10378525578312014,0.057068908418561715,262,535,450
fan_eff_mod,fan,LP,T24+T50+P21,0.41871912279009205,0.10349002171785093,0.05675828489765533,262,535,450
fan_eff_mod,fan,LP,T24+T50+P24,0.1870034217355735,0.1112237981647517,0.11256423022258433,262,535,450
fan_eff_mod,fan,LP,T24+T50+Ps30,0.4723401463507171,0.19051860693516953,0.15391162213548892,262,535,450
fan_eff_mod,fan,LP,T24+T50+P40,0.6657682796831723,0.0480738575909071,0.037585991991430756,262,535,450
fan_eff_mod,fan,LP,T24+T50+P50,0.015658184181701562,-0.39161187070918846,-0.515936656180848,262,535,450
fan_eff_mod,fan,LP,T24+P15+P21,0.5046871611921672,-0.006442558245997265,-0.1411193445801242,262,535,450
fan_eff_mod,fan,LP,T24+P15+P24,0.29401397534485474,0.23600785734866725,0.2040389728935147,262,535,450
fan_eff_mod,fan,LP,T24+P15+Ps30,-0.030037872685220554,-0.4218939405305371,-0.5837909599508642,262,535,450
fan_eff_mod,fan,LP,T24+P15+P40,-0.09285905256364979,-0.40814998630165533,-0.5301039892903676,262,535,450
fan_eff_mod,fan,LP,T24+P15+P50,0.3807201477877117,0.2401987821579329,0.22164026256888913,262,535,450
fan_eff_mod,fan,LP,T24+P21+P24,0.2938401837870489,0.23612353619703663,0.20415949226766328,262,535,450
fan_eff_mod,fan,LP,T24+P21+Ps30,-0.029958996227510803,-0.4224825214688219,-0.58444655678741,262,535,450
fan_eff_mod,fan,LP,T24+P21+P40,-0.09301477223219502,-0.40808348589638843,-0.5300317295619019,262,535,450
fan_eff_mod,fan,LP,T24+P21+P50,0.3807372240962217,0.240021793742222,0.2214589511238828,262,535,450
fan_eff_mod,fan,LP,T24+P24+Ps30,0.16281219476617786,0.13592659045544242,0.11109943092243502,262,535,450
fan_eff_mod,fan,LP,T24+P24+P40,0.1893743060124652,0.14570242375899378,0.07169531777067084,262,535,450
fan_eff_mod,fan,LP,T24+P24+P50,0.17227918669412648,-0.13170399566648716,-0.21950509402777874,262,535,450
fan_eff_mod,fan,LP,T24+Ps30+P40,0.30660879891495574,0.3106776777555028,0.2922255567549058,262,535,450
fan_eff_mod,fan,LP,T24+Ps30+P50,0.004073733920971982,0.2782340157256675,0.2522986800440833,262,535,450
fan_eff_mod,fan,LP,T24+P40+P50,0.18456144331112284,-0.08618784492957343,-0.17832224184906842,262,535,450
fan_eff_mod,fan,LP,T30+T48+T50,0.22700022704903142,-0.20502781837998296,-0.3194505477011409,262,535,450
fan_eff_mod,fan,LP,T30+T48+P15,0.3681773850691267,0.18080823051055483,0.14283130625594098,262,535,450
fan_eff_mod,fan,LP,T30+T48+P21,0.36820739865137553,0.18058534238226143,0.14259808525331197,262,535,450
fan_eff_mod,fan,LP,T30+T48+P24,0.4006962951570573,-0.10050347953680161,-0.15643687981095633,262,535,450
fan_eff_mod,fan,LP,T30+T48+Ps30,0.4532839911600016,-0.06787969960646079,-0.0563790909907933,262,535,450
fan_eff_mod,fan,LP,T30+T48+P40,0.337040254576648,0.12230705351406157,0.08358410916947023,262,535,450
fan_eff_mod,fan,LP,T30+T48+P50,0.19572421834092663,-0.04143027731973126,-0.08356522052788895,262,535,450
fan_eff_mod,fan,LP,T30+T50+P15,0.26285217487313106,0.09478177600098947,0.08113307901573996,262,535,450
