target,inputs,rho,R2,NRMSE,is_baseline
HPT_eff_mod,T48+P40+P50,0.6239274473516825,0.5170456260615557,0.6949491880263221,False
HPT_eff_mod,Wf+Nc+T50,0.6237717575963851,0.7427455283687444,0.5072025942670795,False
HPT_eff_mod,Nc+T48+Ps30,0.6236564615787518,0.7045965049053773,0.543510344974797,False
HPT_eff_mod,T50+P40+P50,0.6236364372781695,0.5165986924299282,0.695270672163059,False
HPT_eff_mod,Nc+T24+T48,0.6236313222880192,0.7176293194930377,0.5313856231654771,False
HPT_eff_mod,Nf+T48+Ps30,0.623530079860767,0.47177273865151914,0.7267924472285612,False
HPT_eff_mod,Nc+T48+P21,0.6234598248844896,0.7235496542614785,0.5257854559975214,False
HPT_eff_mod,Wf+T48+T50,0.6234179639157019,0.37768091532974457,0.7888720331398847,False
HPT_eff_mod,Nc+T48+P15,0.6234135972579739,0.6950216990235705,0.5522484051370631,False
HPT_eff_mod,T24+T48+Ps30,0.6234069497235023,0.49817861875182534,0.7083935214611825,False
HPT_eff_mod,Nc+T48+P24,0.6230225900714035,0.6979336218853526,0.5496056569165273,False
HPT_eff_mod,T30+T50+P50,0.6229344555254518,0.8059654942236499,0.44049347983409487,False
HPT_eff_mod,Nf+T30+T50,0.622536469733914,0.7059948476929523,0.5422224195909349,False
HPT_eff_mod,T48+P15+P24,0.6224526755555917,0.48082999914454605,0.7205345244021649,False
HPT_eff_mod,T30+T50+P21,0.622349452571262,0.7236489556951295,0.5256910160016723,False
HPT_eff_mod,T30+T50+P15,0.622349452571262,0.7236487958445413,0.5256911680401894,False
HPT_eff_mod,T30+T48+T50,0.622334183408023,0.7323990343425018,0.5173016196161562,False
HPT_eff_mod,Nc+T50+P40,0.6223213369921891,0.7512509228012558,0.4987475084636957,False
HPT_eff_mod,Nc+T24+T50,0.6220197763220562,0.7400767820850929,0.5098266547709204,False
HPT_eff_mod,Nc+T30+T50,0.6219699072409198,0.7014112397327961,0.5464327591453536,False
HPT_eff_mod,Wf+P21+P40,0.6218033858520292,0.5283916638160973,0.6867374579734987,False
HPT_eff_mod,T30+T48+P40,0.6213002684939318,0.7805285470945508,0.4684778040691462,False
HPT_eff_mod,Wf+P21+P50,0.6211955953995069,0.4918889685943012,0.7128190734020091,False
HPT_eff_mod,Nf+Nc+T50,0.620807657793508,0.7475988237419549,0.5023954381341905,False
HPT_eff_mod,Nc+T50+Ps30,0.6207724838037062,0.7117360679522816,0.5369021624539414,False
HPT_eff_mod,Nc+T50+P50,0.6204234871168471,0.7799504302835394,0.4690944145014526,False
HPT_eff_mod,T30+T48+P15,0.6203969983383715,0.6509649962282474,0.5907918447065367,False
HPT_eff_mod,T30+T50+P40,0.6198948785277565,0.7824765549943241,0.46639408766157825,False
HPT_eff_mod,Wf+Nc+T48,0.6198554230822972,0.7831833370424888,0.46563576211187996,False
HPT_eff_mod,Nf+Nc+T48,0.619808338270706,0.7308930622965502,0.5187551808931163,False
HPT_eff_mod,Nc+T50+P24,0.6196957683944647,0.7124557995800596,0.5362314802582375,False
HPT_eff_mod,Wf+T24+P50,0.6196823811467291,0.491957537752274,0.7127709746108677,False
HPT_eff_mod,Wf+P15+P50,0.6195803495067375,0.48622543592720824,0.7167806945452646,False
HPT_eff_mod,T24+T30+T50,0.6191775361365883,0.7349664455041189,0.5148140970252089,False
HPT_eff_mod,Nf+T48+P40,0.6189483553199276,0.4806130988019467,0.7206850221824048,False
HPT_eff_mod,Nf+T50+Ps30,0.6187572084731412,0.4702494506898558,0.7278396453272824,False
HPT_eff_mod,T50+P24+Ps30,0.6185314808159108,0.5292421281915842,0.6861179722237393,False
HPT_eff_mod,Wf+P21+Ps30,0.6183439184477746,0.5066313052276458,0.7024020891002206,False
HPT_eff_mod,Wf+P15+Ps30,0.6182506842677622,0.5027714247066144,0.7051443648596972,False
HPT_eff_mod,Wf+P40+P50,0.6182470534855208,0.512963619505537,0.697879918391741,False
HPT_eff_mod,Nc+T50+P21,0.6178376809062432,0.7172296552460262,0.5317615487734834,False
HPT_eff_mod,Wf+Nc+P50,0.6176498726794271,0.8051620622663128,0.44140450579223495,False
HPT_eff_mod,Nf+T50+P40,0.6175644487712534,0.47134075334464787,0.7270895726493072,False
HPT_eff_mod,Wf+Nf+T50,0.6170972195593878,0.3286484240220441,0.819360467668508,False
HPT_eff_mod,Wf+Nf+T48,0.6161992065481591,0.38269050430348006,0.7856904579390793,False
HPT_eff_mod,Nc+T50+P15,0.6160978539432678,0.7257382290669809,0.5237000772703964,False
HPT_eff_mod,T30+T48+P21,0.613135498221821,0.6801213908214805,0.5655781194304811,False
HPT_eff_mod,Wf+Ps30+P50,0.6128317666330766,0.47912395022473375,0.7217174306993467,False
